Track ID,Name,Artist,Album,Genre,2021-10-02 18:06:24,Play Count,Location
30286,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,,4th Of July,2021-10-03 19:19:31,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Aaron%20Tippin/Unknown%20Album/Where%20The%20Stars%20And%20Stripes%20And%20The%20Eagle%20Fly.mp3
75050,God Bless America,Kate Smith,,4th Of July,2021-09-27 07:33:30,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Kate%20Smith/Unknown%20Album/God%20Bless%20America.mp3
78838,God Bless America,LeAnn Rimes,,4th Of July,2021-10-10 07:01:37,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/LeAnn%20Rimes/Unknown%20Album/God%20Bless%20America.mp3
78842,National Anthem,LeAnn Rimes,,4th Of July,2021-10-05 15:47:38,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/LeAnn%20Rimes/Unknown%20Album/National%20Anthem.mp3
78988,America,Lee Greenwood,,4th Of July,2021-10-11 00:09:57,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/America.mp3
78986,America The Beautiful,Lee Greenwood,,4th Of July,2021-10-03 13:27:48,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/America%20The%20Beautiful.mp3
78990,God Bless America,Lee Greenwood,,4th Of July,2021-09-27 16:50:59,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/God%20Bless%20America.mp3
78992,God Bless The U.S.A.,Lee Greenwood,,4th Of July,2021-10-20 11:34:38,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/God%20Bless%20The%20U.S.A..mp3
78996,The Pledge Of Allegiance (Album LP Version),Lee Greenwood,,4th Of July,2021-09-26 20:50:44,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/The%20Pledge%20Of%20Allegiance%20(Album%20LP%20Version).mp3
78998,The Pledge Of Allegiance (Radio Edit),Lee Greenwood,,4th Of July,2021-10-17 18:32:53,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/The%20Pledge%20Of%20Allegiance%20(Radio%20Edit).mp3
79000,The Star Spangled Banner,Lee Greenwood,,4th Of July,2021-10-01 04:48:41,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lee%20Greenwood/Unknown%20Album/The%20Star%20Spangled%20Banner.mp3
83050,Red White & Blue,Lynyrd Skynyrd,,4th Of July,2021-09-27 23:35:28,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Lynyrd%20Skynyrd/Unknown%20Album/Red%20White%20&%20Blue.mp3
83634,The Star Spangled Banner,Maggie Rose,,4th Of July,2021-10-21 18:14:17,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Maggie%20Rose/Unknown%20Album/The%20Star%20Spangled%20Banner.mp3
84098,American Spirit,Mannheim Steamroller & Bill Fries,,4th Of July,2021-10-04 06:22:05,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mannheim%20Steamroller%20&%20Bill%20Fries/Unknown%20Album/American%20Spirit.mp3
90386,America (Radio Edit),Neil Diamond,,4th Of July,2021-10-22 15:40:07,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Neil%20Diamond/Unknown%20Album/America%20(Radio%20Edit).mp3
110048,American Made,The Oak Ridge Boys,,4th Of July,2021-10-19 19:34:48,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Oak%20Ridge%20Boys/Unknown%20Album/American%20Made.mp3
96334,America Will Always Stand,Randy Travis,,4th Of July,2021-10-06 08:54:40,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Randy%20Travis/Unknown%20Album/America%20Will%20Always%20Stand.mp3
96470,America The Beautiful,Ray Charles,,4th Of July,2021-09-24 22:13:39,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ray%20Charles/Unknown%20Album/America%20The%20Beautiful.mp3
102090,4th Of July,Shooter Jennings f. George Jones,,4th Of July,2021-09-29 16:29:15,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Shooter%20Jennings%20f.%20George%20Jones/Unknown%20Album/4th%20Of%20July.mp3
111914,"Courtesy Of The Red, White & Blue (The Angry American)",Toby Keith,,2021-10-10 15:04:32,2014-08-26 01:59:59,0,"file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Toby%20Keith/Unknown%20Album/Courtesy%20Of%20The%20Red,%20White%20&%20Blue%20(The%20Angry%20American).mp3"
126552,The Stars And Stripes Forever,Victory Military Band,,4th Of July,2021-09-29 01:19:40,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Victory%20Military%20Band/Unknown%20Album/The%20Stars%20And%20Stripes%20Forever.mp3
127414,America (Extended),Waylon Jennings,,4th Of July,2021-10-04 10:07:16,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Waylon%20Jennings/Unknown%20Album/America%20(Extended).mp3
127416,America (Radio Edit),Waylon Jennings,,4th Of July,2021-10-01 12:09:05,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Waylon%20Jennings/Unknown%20Album/America%20(Radio%20Edit).mp3
127686,"The Star Spangled Banner (Performed Live January 27th At Super Bowl XXV - Tampa, FL)",Whitney Houston,,2021-10-07 23:16:23,2014-08-26 01:59:59,0,"file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Whitney%20Houston/Unknown%20Album/The%20Star%20Spangled%20Banner%20(Performed%20Live%20January%2027th%20At%20Super%20Bowl%20XXV%20-%20Tampa,%20FL).mp3"
71434,Ragged Old Flag,Johnny Cash,,4th Of July,2021-09-23 14:42:47,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Johnny%20Cash/Unknown%20Album/Ragged%20Old%20Flag.mp3
128048,Living In The Promiseland,Willie Nelson,,4th Of July,2021-10-07 11:39:44,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Willie%20Nelson/Unknown%20Album/Living%20In%20The%20Promiseland.mp3
