Track ID,Name,Artist,Album,Genre,2014-05-25 14:01:07,Play Count,Location
32474,Keep On Dancing,Alvin Cash,<Unknown>,Funk,2014-06-15 11:35:53,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Alvin%20Cash/_Unknown_/Keep%20On%20Dancing.mp3
91894,Everybody Up,Ohio Players,Gold Disc 2,Funk,2014-06-14 09:35:47,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/12%20Everybody%20Up.mp3
91892,Time Slips Away,Ohio Players,Gold Disc 2,Funk,2014-05-30 17:20:11,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/11%20Time%20Slips%20Away.mp3
91890,Funk-O-Nots,Ohio Players,Gold Disc 2,Funk,2014-05-21 10:26:34,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/10%20Funk-O-Nots.mp3
91888,Good Luck Charm,Ohio Players,Gold Disc 2,Funk,2014-06-04 04:56:18,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/09%20Good%20Luck%20Charm.mp3
91886,Merry Go Round,Ohio Players,Gold Disc 2,Funk,2014-06-17 02:23:51,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/08%20Merry%20Go%20Round.mp3
91884,Body Vibes,Ohio Players,Gold Disc 2,Funk,2014-06-19 00:06:32,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/07%20Body%20Vibes.mp3
91882,O-H-I-O,Ohio Players,Gold Disc 2,Funk,2014-05-22 20:39:01,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/06%20O-H-I-O.mp3
91880,Feel The Beat (Everybody Disco),Ohio Players,Gold Disc 2,Funk,2014-06-05 06:55:54,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/05%20Feel%20The%20Beat%20(Everybody%20Disco).mp3
91878,Only A Child Can Love,Ohio Players,Gold Disc 2,Funk,2014-06-15 18:33:30,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ohio%20Players/Gold%20Disc%202/04%20Only%20A%20Child%20Can%20Love.mp3
