Track ID,Name,Artist,Album,Genre,2021-12-01 13:04:55,Play Count,Location
122876,Looks like december,Antonio Carlos Jobim,Smooth Jazz Christmas,Holiday/Jazz,2021-11-22 03:25:44,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artiist/Smooth%20Jazz%20Christmas/12%20Looks%20like%20december.mp3
126088,Do They Know It's Christmas,Band Aid 20 ,Now That's What I Call Xmas CD1,Holiday/Various Artist,2021-11-21 16:27:06,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Now%20That's%20What%20I%20Call%20Xmas%20CD1/21%20Do%20They%20Know%20It's%20Christmas.mp3
126056,Do They Know It's Christmas (1984 Original Version),Band Aid ,Now That's What I Call Xmas CD1,Holiday/Various Artist,2021-11-29 17:10:25,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Now%20That's%20What%20I%20Call%20Xmas%20CD1/02%20Do%20They%20Know%20It's%20Christmas%20(1984%20Original%20Version).mp3
126106,Never Do A Tango With An Eskimo,Alma Cogan ,Now That's What I Call Xmas CD2,Holiday/Various Artist,2021-12-13 05:57:22,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Now%20That's%20What%20I%20Call%20Xmas%20CD2/10%20Never%20Do%20A%20Tango%20With%20An%20Eskimo.mp3
126100,Lonely Pup (In A Christmas Shop),Adam Faith ,Now That's What I Call Xmas CD2,Holiday/Various Artist,2021-12-16 23:33:58,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Various%20Artists/Now%20That's%20What%20I%20Call%20Xmas%20CD2/07%20Lonely%20Pup%20(In%20A%20Christmas%20Shop).mp3
111012,Santa Claus Is Coming To Town,The Whispers,Ultimate Soul Christmas (Disc 2),Holiday/Soul,2021-12-01 17:46:38,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Whispers/Ultimate%20Soul%20Christmas%20(Disc%202)/2-02%20Santa%20Claus%20Is%20Coming%20To%20Town.mp3
110676,Silent Night,The Temptations,Ultimate Soul Christmas (Disc 2),Holiday/Soul,2021-12-12 03:24:03,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Temptations/Ultimate%20Soul%20Christmas%20(Disc%202)/2-15%20Silent%20Night.mp3
110578,I'll Be Home For Christmas,The Stylistics,Ultimate Soul Christmas (Disc 1),Holiday/Soul,2021-11-24 21:28:41,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Stylistics/Ultimate%20Soul%20Christmas%20(Disc%201)/1-14%20I'll%20Be%20Home%20For%20Christmas.mp3
102838,O Holy Night,Smokey Robinson & The Miracles,Ultimate Soul Christmas (Disc 2),Holiday/Soul,2021-12-05 12:37:32,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Smokey%20Robinson%20&%20The%20Miracles/Ultimate%20Soul%20Christmas%20(Disc%202)/2-13%20O%20Holy%20Night.mp3
47466,White Christmas,Otis Redding,Ultimate Soul Christmas (Disc 1),Holiday/Soul,2021-12-16 15:32:36,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Compilations/Ultimate%20Soul%20Christmas%20(Disc%201)/1-02%20White%20Christmas.mp3
47468,Have Yourself A Merry Little Christmas,The O'Jays,Ultimate Soul Christmas (Disc 2),Holiday/Soul,2021-11-28 12:47:34,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Compilations/Ultimate%20Soul%20Christmas%20(Disc%202)/2-06%20Have%20Yourself%20A%20Merry%20Little%20Christmas.mp3
90104,The Christmas Song (Merry Christmas To You),Nat King Cole,Ultimate Soul Christmas (Disc 1),Holiday/Soul,2021-11-19 01:48:10,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nat%20King%20Cole/Ultimate%20Soul%20Christmas%20(Disc%201)/1-04%20The%20Christmas%20Song%20(Merry%20Christmas%20To%20You).mp3
89812,That's What I Want For Christmas,Nancy Wilson,Ultimate Soul Christmas (Disc 2),Holiday/Soul,2021-12-18 11:26:40,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nancy%20Wilson/Ultimate%20Soul%20Christmas%20(Disc%202)/2-14%20That's%20What%20I%20Want%20For%20Christmas.mp3
82976,This Is Christmas,Luther Vandross,Ultimate Soul Christmas (Disc 1),Holiday/Soul,2021-11-27 16:40:37,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Luther%20Vandross/Ultimate%20Soul%20Christmas%20(Disc%201)/1-01%20This%20Is%20Christmas.mp3
