Track ID,Name,Artist,Album,Genre,2018-03-22 03:51:38,Play Count,Location
94508,Just (The Tip),Plies Ft. Jeremih x Ludacris ,,R&B/ Hip Hop,2018-04-03 09:23:33,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Plies%20Ft.%20Jeremih%20x%20Ludacris/Unknown%20Album/Just%20(The%20Tip).mp3
77342,That Pole (Remix) (Explicit),Kirko Bangz f. Chris Brown,,R&B/ Hip Hop,2018-04-11 13:48:11,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Kirko%20Bangz%20f.%20Chris%20Brown/Unknown%20Album/That%20Pole%20(Remix)%20(Explicit).mp3
85000,Naked Remix - 5A,Marques Houston & Mike Jones,Hot 97 Blazin Hip-Hop And R&B Vol 51,R&B/ Hip Hop,2018-03-23 01:58:08,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Marques%20Houston%20&%20Mike%20Jones/Hot%2097%20Blazin%20Hip-Hop%20And%20R&B%20Vol%2051/18%20Naked%20Remix%20-%205A.mp3
85538,Mr. Wrong (Radio Edit),Mary J. Blige f. Drake,,R&B/ Hip Hop,2018-03-16 00:04:52,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20f.%20Drake/Unknown%20Album/Mr.%20Wrong%20(Radio%20Edit).mp3
86878,It Kills Me (Remix)  - 5A,Melanie Fiona ft Ghostface,,R&B/ Hip Hop,2018-03-18 07:42:08,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Melanie%20Fiona%20ft%20Ghostface/Unknown%20Album/It%20Kills%20Me%20(Remix)%20%20-%205A.mp3
87734,Quickie (Remix),Miguel x Big Sean ,All I Want Is You,R&B/ Hip Hop,2018-03-31 05:18:30,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Miguel%20x%20Big%20Sean/All%20I%20Want%20Is%20You/03%20Quickie%20(Remix).mp3
41614,Thinking About Forever,Bridget Kelly,Bridget Kelly - Every Girl,R&B,2018-03-15 20:51:23,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Bridget%20Kelly/Bridget%20Kelly%20-%20Every%20Girl/01%20Thinking%20About%20Forever.mp3
101814,Tell Me (Remix)  - 12A,Shanell ft Jae Millz ,HotNewHipHop.com,R&B/ Hip Hop,2018-04-07 10:25:40,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Shanell%20ft%20Jae%20Millz/HotNewHipHop.com/Tell%20Me%20(Remix)%20%20-%2012A.mp3
113086,Unusual (Radio Edit),Trey Songz f. Drake,,R&B/ Hip Hop,2018-04-05 12:24:20,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Trey%20Songz%20f.%20Drake/Unknown%20Album/Unusual%20(Radio%20Edit).mp3
37196,1+1,Beyoncé,4,R&B,2018-03-26 09:25:34,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Beyonce%CC%81/4/01%201+1.mp3
36938,Be With You,Beyonce,Dangerously In Love,R&B,2018-03-15 21:09:43,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Beyonce/Dangerously%20In%20Love/05%20Be%20With%20You.mp3
34186,Read Your Mind,Avant,Read Your Mind CDS,R&B,2018-04-01 20:47:58,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Avant/Read%20Your%20Mind%20CDS/02%20Read%20Your%20Mind.mp3
33646,Baby,Ashanti,Ashanti,R&B,2018-03-20 08:54:54,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ashanti/Ashanti/09%20Baby.mp3
30182,I Don't Wanna,Aaliyah,Best Of Aaliyah,R&B,2018-03-15 14:26:36,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Aaliyah/Best%20Of%20Aaliyah/I%20Don't%20Wanna.mp3
30196,One In A Million,Aaliyah,One In A Million,R&B,2018-04-06 09:07:04,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Aaliyah/One%20In%20A%20Million/03%20One%20In%20A%20Million.mp3
32050,Like You'll Never See Me Again,Alicia Keys,As I Am,R&B,2018-04-10 16:09:09,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Alicia%20Keys/As%20I%20Am/05%20Like%20You'll%20Never%20See%20Me%20Again.mp3
