Track ID,Name,Artist,Album,Genre,2022-02-15 04:22:49,Play Count,Location
30238,One In A Million (POWERHOUSE Remix Service),Aaliyah,,Powerhouse Remixes,2022-02-02 00:50:58,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Aaliyah/Unknown%20Album/One%20In%20A%20Million%20(POWERHOUSE%20Remix%20Service).mp3
91662,Where Do You Go (POWERHOUSE Remix Service),No Mercy,,Powerhouse Remixes,2022-01-31 21:15:27,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/No%20Mercy/Unknown%20Album/Where%20Do%20You%20Go%20(POWERHOUSE%20Remix%20Service).mp3
92192,Keep On Groovin (POWERHOUSE Remix Service),One Vision,,Powerhouse Remixes,2022-02-25 07:30:09,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/One%20Vision/Unknown%20Album/Keep%20On%20Groovin%20(POWERHOUSE%20Remix%20Service).mp3
92202,Cutie Pie (POWERHOUSE Remix Service),One Way,,Powerhouse Remixes,2022-02-26 14:17:45,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/One%20Way/Unknown%20Album/Cutie%20Pie%20(POWERHOUSE%20Remix%20Service).mp3
110060,I Love You Baby (POWERHOUSE Remix Service),The Original,,Powerhouse Remixes,2022-02-13 07:51:08,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Original/Unknown%20Album/I%20Love%20You%20Baby%20(POWERHOUSE%20Remix%20Service).mp3
110100,The Outhere Brothers Megamix (POWERHOUSE Remix Service),The Outhere Brothers,,Powerhouse Remixes,2022-02-10 11:48:53,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Outhere%20Brothers/Unknown%20Album/The%20Outhere%20Brothers%20Megamix%20(POWERHOUSE%20Remix%20Service).mp3
92788,Flash Light (POWERHOUSE Remix Service),Parliament,,Powerhouse Remixes,2022-02-07 02:34:56,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Parliament/Unknown%20Album/Flash%20Light%20(POWERHOUSE%20Remix%20Service).mp3
93974,You Wanna Party (POWERHOUSE Remix Service),Phortune,,Powerhouse Remixes,2022-02-06 22:36:03,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Phortune/Unknown%20Album/You%20Wanna%20Party%20(POWERHOUSE%20Remix%20Service).mp3
94516,Hello (POWERHOUSE Remix Service),Poe,,Powerhouse Remixes,2022-02-01 10:12:02,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Poe/Unknown%20Album/Hello%20(POWERHOUSE%20Remix%20Service).mp3
95454,The Child (Inside) (POWERHOUSE Remix Service),Qkumba Zoo,,Powerhouse Remixes,2022-02-06 01:48:45,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Qkumba%20Zoo/Unknown%20Album/The%20Child%20(Inside)%20(POWERHOUSE%20Remix%20Service).mp3
96760,Another Night (POWERHOUSE Remix Service),Real McCoy,,Powerhouse Remixes,2022-02-28 02:33:46,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Real%20McCoy/Unknown%20Album/Another%20Night%20(POWERHOUSE%20Remix%20Service).mp3
96780,Run Away (POWERHOUSE Remix Service),Real McCoy,,Powerhouse Remixes,2022-02-25 17:17:19,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Real%20McCoy/Unknown%20Album/Run%20Away%20(POWERHOUSE%20Remix%20Service).mp3
97044,I Like To Move It (POWERHOUSE Remix Service),Reel 2 Real f. The Mad Stuntman,,Powerhouse Remixes,2022-02-10 23:01:14,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Reel%202%20Real%20f.%20The%20Mad%20Stuntman/Unknown%20Album/I%20Like%20To%20Move%20It%20(POWERHOUSE%20Remix%20Service).mp3
97264,Ready To Go (POWERHOUSE Remix Service),Republica,,Powerhouse Remixes,2022-02-21 03:40:52,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Republica/Unknown%20Album/Ready%20To%20Go%20(POWERHOUSE%20Remix%20Service).mp3
97320,You Don't Have To Worry (POWERHOUSE Remix Service),Rhythmcentric,,Powerhouse Remixes,2022-02-02 18:31:56,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Rhythmcentric/Unknown%20Album/You%20Don't%20Have%20To%20Worry%20(POWERHOUSE%20Remix%20Service).mp3
97704,Give It To Me Baby (POWERHOUSE Remix Service),Rick James,,Powerhouse Remixes,2022-02-22 01:05:52,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Rick%20James/Unknown%20Album/Give%20It%20To%20Me%20Baby%20(POWERHOUSE%20Remix%20Service).mp3
97712,Super Freak (POWERHOUSE Remix Service),Rick James,,Powerhouse Remixes,2022-02-15 08:13:34,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Rick%20James/Unknown%20Album/Super%20Freak%20(POWERHOUSE%20Remix%20Service).mp3
98750,If You Really Want To Party (POWERHOUSE Remix Service),Rob Base,,Powerhouse Remixes,2022-02-04 18:07:08,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Rob%20Base/Unknown%20Album/If%20You%20Really%20Want%20To%20Party%20(POWERHOUSE%20Remix%20Service).mp3
99048,It Must Be Love (POWERHOUSE Remix Service),Robin S.,,Powerhouse Remixes,2022-03-01 10:07:13,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Robin%20S_/Unknown%20Album/It%20Must%20Be%20Love%20(POWERHOUSE%20Remix%20Service).mp3
