Track ID,Name,Artist,Album,Genre,2017-02-23 13:39:17,Play Count,Location
67394,Aint Leaving Without You (Remix)  - 5A,Jaheim ft Jadakiss,,R&B/ Hip Hop,2017-02-04 09:27:11,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Jaheim%20ft%20Jadakiss/Unknown%20Album/Aint%20Leaving%20Without%20You%20(Remix)%20%20-%205A.mp3
106782,24 Hours To Live - 6A/5A,"Mase, Black Rob, The LOX ft DMX",2017-02-04 07:14:02,R&B/ Hip Hop,2014-08-26 01:59:59,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Bad%20Boy%20Family/Bad%20Boy%2010th%20Anniversary...%20The%20Hits/10%2024%20Hours%20To%20Live%20-%206A_5A.mp3
106786,Get Ready - 12A,Mase ft Blackstreet,Bad Boy 10th Anniversary... The Hits,R&B/ Hip Hop,2017-02-23 00:21:33,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/The%20Bad%20Boy%20Family/Bad%20Boy%2010th%20Anniversary...%20The%20Hits/12%20Get%20Ready%20-%2012A.mp3
85568,Mr. Wrong,Mary J. Blige x Drake ,,R&B/ Hip Hop,2017-02-12 02:21:34,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20x%20Drake/Unknown%20Album/Mr.%20Wrong.mp3
85474,Feel Inside - 7A,Mary J. Blige Ft. Nicki Minaj,,R&B/ Hip Hop,2017-02-04 18:17:46,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige/Unknown%20Album/Feel%20Inside%20-%207A.mp3
85546,Someone To Love Me (Naked) (Radio Edit),Mary J. Blige f. Lil Wayne & Puff Daddy 'Diddy',,R&B/ Hip Hop,2017-02-02 16:47:27,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20f.%20Lil%20Wayne%20&%20Puff%20Daddy%20'Diddy'/Unknown%20Album/Someone%20To%20Love%20Me%20(Naked)%20(Radio%20Edit).mp3
85544,Be Happy (bad Boy Remix) - 1A,Mary J. Blige F. Keith Murray-,,R&B/ Hip Hop,2017-02-17 19:39:48,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20F.%20Keith%20Murray-/Unknown%20Album/Be%20Happy%20(bad%20Boy%20Remix)%20-%201A.mp3
85538,Mr. Wrong (Radio Edit),Mary J. Blige f. Drake,,R&B/ Hip Hop,2017-02-11 06:49:26,1,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20f.%20Drake/Unknown%20Album/Mr.%20Wrong%20(Radio%20Edit).mp3
85536,Mr. Wrong (Instrumental),Mary J. Blige f. Drake,,R&B/ Hip Hop,2017-02-15 01:54:31,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20f.%20Drake/Unknown%20Album/Mr.%20Wrong%20(Instrumental).mp3
85534,Mr. Wrong (DJ ReMIke Quick Mix) (Clean),Mary J. Blige f. Drake,,R&B/ Hip Hop,2017-02-10 10:49:32,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J.%20Blige%20f.%20Drake/Unknown%20Album/Mr.%20Wrong%20(DJ%20ReMIke%20Quick%20Mix)%20(Clean).mp3
85190,Family Affair (Remix) - 12A,Mary J Blige feat. Jadakiss & Fabolous,,R&B/ Hip Hop,2017-02-06 15:52:54,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mary%20J%20Blige%20feat.%20Jadakiss%20&%20Fabolous/Unknown%20Album/2-09%20Family%20Affair%20(Remix)%20-%2012A.mp3
