Track ID,Name,Artist,Album,Genre,2023-03-19 12:45:18,Play Count,Location
32252,No One (Ted Smooth Remix),Alicia Keys ft Cassidy,,R&B,2023-03-31 17:00:18,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Alicia%20Keys%20ft%20Cassidy/Unknown%20Album/No%20One%20(Ted%20Smooth%20Remix).mp3
73954,Can't Raise A Man (DJ Ted Smooth Remix) (Clean),K. Michelle,,Urban,2023-03-28 14:34:06,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/K.%20Michelle/Unknown%20Album/Can't%20Raise%20A%20Man%20(DJ%20Ted%20Smooth%20Remix)%20(Clean).mp3
73956,Can't Raise A Man (DJ Ted Smooth Remix) (DJ Intro) (Clean),K. Michelle,,Urban,2023-03-30 08:41:32,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/K.%20Michelle/Unknown%20Album/Can't%20Raise%20A%20Man%20(DJ%20Ted%20Smooth%20Remix)%20(DJ%20Intro)%20(Clean).mp3
83284,Own It (Dj Tedsmooth Remix) Clean,Mack Wilds Feat. Jadakiss ,,R&B/ Hip Hop,2023-04-08 17:46:05,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mack%20Wilds%20Feat.%20Jadakiss/Unknown%20Album/Own%20It%20(Dj%20Tedsmooth%20Remix)%20Clean.mp3
83228,Henny (DJ Ted Smooth Remix),Mack Wilds Feat. Troy Ave,,Rap & Hip-Hop,2023-03-29 19:03:16,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Mack%20Wilds/Unknown%20Album/01%20Henny%20(DJ%20Ted%20Smooth%20Remix).mp3
86504,Levels (DJ Ted Smooth Remix) (Explicit),Meek Mill,,Urban,2023-04-02 05:37:16,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Meek%20Mill/Unknown%20Album/Levels%20(DJ%20Ted%20Smooth%20Remix)%20(Explicit).mp3
86506,Levels (DJ Ted Smooth Remix) (Radio Edit),Meek Mill,,Rap & Hip-Hop,2023-03-25 17:48:31,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Meek%20Mill/Unknown%20Album/Levels%20(DJ%20Ted%20Smooth%20Remix)%20(Radio%20Edit).mp3
89734,Shoulders Move(Ted Smooth Remix),N.O.R.E. Feat Jim Jones ,,Rap & Hip-Hop,2023-03-22 16:20:13,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/N.O.R.E.%20Feat%20Jim%20Jones/Unknown%20Album/Shoulders%20Move(Ted%20Smooth%20Remix).mp3
90360,Miss Independant (Ted Smooth Rmx Clean),Ne-Yo Feat. Mr Cheeks ,Year Of The Gentleman,R&B,2023-04-12 02:03:42,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ne-Yo%20Feat.%20Mr%20Cheeks/Year%20Of%20The%20Gentleman/Miss%20Independant%20(Ted%20Smooth%20Rmx%20Clean).mp3
91298,Your Love (Tedd Smooth Remix),Nicki Minaj,,Rap & Hip-Hop,2023-04-08 04:16:37,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Nicki%20Minaj/Unknown%20Album/Your%20Love%20(Tedd%20Smooth%20Remix).mp3
96854,Fly Together (DJ Tedsmooth Remix),Red Cafe,,Rap & Hip-Hop,2023-03-16 11:40:54,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Red%20Cafe/Unknown%20Album/Fly%20Together%20(DJ%20Tedsmooth%20Remix).mp3
99422,Jumpin Out The Window (Ted Smooth Remix Clean),Ron Browz,Ron Browz,Rap & Hip-Hop,2023-04-12 13:46:45,0,file:///Volumes/Seagate%20Thunderbolt%20Drive/Music/Ron%20Browz/Ron%20Browz/Jumpin%20Out%20The%20Window%20(Ted%20Smooth%20Remix%20Clean).mp3
